MSFT;174.57;174.49;178.07;173.80;;13,772,907;
HPQ;14.71;14.63;14.79;14.41;;3,288,102;
INTC;57.47;57.12;57.45;56.31;;8,710,977;
CSCO;40.92;40.95;41.02;40.49;;6,124,347;
AA;7.69;7.52;7.89;7.34;;2,880,388;
ORCL;51.79;51.71;51.74;51.10;;2,864,175;
